Filter,CPU,GPU
Blur,0.5978628057039785,0.4476585158227205
Comic,0.026907383619320404,-1.4145563921809332
Edge,-0.5241401846254481,-0.8920701926454077
Grayscale,-0.15757248334233376,-0.2883127764784238
Pixelation,-0.1755334616276829,0.6338143653657022
