FilterName,ExecutionMode,HasTransform,FPS,FrameTime_ms
Comic,CPU,Yes,5.98014,167.22
Comic,CPU,Yes,5.98265,167.15
Comic,CPU,Yes,5.98635,167.047
Comic,CPU,Yes,5.9943,166.825
Comic,CPU,No,6.01811,166.165
