ExecutionMode,HasTransform,FPS,FrameTime_ms
CPU,No,26.552751666666666,54.87461666666667
CPU,Yes,26.571280833333333,54.9985625
GPU,No,30.329716666666666,32.9713
GPU,Yes,30.42918333333333,32.864425000000004
