ExecutionMode,HasTransform,FPS,FrameTime_ms
CPU,No,26.610161666666666,54.88658333333334
CPU,Yes,26.515825833333334,54.99355416666666
GPU,No,30.26223333333333,33.04531666666667
GPU,Yes,30.36095,32.9385375
